"codigo_ibge","categoria","cod_cnae","ano_atividade","cod_uf","ativas","mei"
"2606200","5","5611203","2022-10-01","26","46","0"
"2700805","5","5611203","2022-10-01","27","1","1"
"3106200","5","5611204","2022-10-01","31","2001","0"
"4106902","5","5611203","2020-09-01","41","6184","0"
"2211001","5","5611205","2020-10-01","22","14","0"
"2507507","5","5611201","2020-10-01","25","1525","0"
"2704302","5","5611201","2020-10-01","27","1094","1"
"2927408","5","5611203","2020-10-01","29","3942","0"
"2606200","5","5611201","2022-09-01","26","92","0"
"2611606","5","5611204","2022-09-01","26","468","0"
"2704302","5","5611205","2022-09-01","27","39","0"
"1600303","5","5611204","2022-10-01","16","135","0"
"1100205","5","5611203","2017-01-01","11","1072","0"
"2408102","5","5611205","2017-01-01","24","10","0"
"2606200","5","5611201","2017-01-01","26","17","1"
"4205407","5","5611201","2017-01-01","42","127","1"
"1302603","5","5611205","2017-02-01","13","10","0"
"1400100","5","5611201","2017-02-01","14","186","1"
"1600303","5","5611203","2022-07-01","16","676","1"
"2211001","5","5611204","2022-07-01","22","373","1"
"2408102","5","5611201","2017-07-01","24","272","1"
"2800308","5","5611204","2017-07-01","28","71","1"
"3205309","5","5611204","2017-07-01","32","139","1"
"1600303","5","5611204","2017-08-01","16","151","1"
"4106902","5","5611204","2019-01-01","41","1750","0"
"1400100","5","5611205","2019-02-01","14","16","1"
"1721000","5","5611201","2019-02-01","17","671","0"
"2211001","5","5611205","2019-02-01","22","15","1"
"2408102","5","5611203","2019-02-01","24","1309","0"
"2927408","5","5611205","2019-12-01","29","178","1"
"5002704","5","5611203","2019-12-01","50","1291","1"
"2408102","5","5611205","2019-07-01","24","17","1"
"2611606","5","5611203","2019-07-01","26","1963","1"
"3205309","5","5611201","2019-07-01","32","184","1"
"3205309","5","5611203","2019-07-01","32","442","1"
"3304557","5","5611201","2019-07-01","33","5601","1"
"5103403","5","5611203","2019-07-01","51","958","1"
"1400100","5","5611204","2019-08-01","14","260","0"
"1302603","5","5611201","2018-06-01","13","2087","0"
"2611606","5","5611204","2018-06-01","26","411","1"
"4106902","5","5611205","2018-07-01","41","21","1"
"5103403","5","5611204","2018-07-01","51","258","0"
"1302603","5","5611203","2018-08-01","13","2304","0"
"1600303","5","5611204","2018-08-01","16","157","1"
"2800308","5","5611201","2018-08-01","28","992","0"
"2800308","5","5611201","2017-02-01","28","147","1"
"1400100","5","5611201","2017-03-01","14","189","1"
"1302603","5","5611204","2020-08-01","13","294","1"
"2611606","5","5611204","2020-08-01","26","571","1"
"4106902","5","5611201","2021-07-01","41","6043","0"
"1100205","5","5611205","2021-08-01","11","24","0"
"2507507","5","5611201","2021-08-01","25","1314","1"
"2704302","5","5611204","2021-08-01","27","307","1"
"5103403","5","5611201","2021-11-01","51","1253","1"
"1400100","5","5611205","2021-12-01","14","51","0"
"1721000","5","5611204","2021-12-01","17","284","1"
"2304400","5","5611204","2019-09-01","23","620","0"
"2408102","5","5611204","2019-09-01","24","244","1"
"3205309","5","5611205","2019-09-01","32","22","1"
"4205407","5","5611203","2019-09-01","42","800","1"
"5107206","5","5611203","2019-09-01","51","4","1"
"1302603","5","5611204","2019-10-01","13","295","0"
"5103403","5","5611201","2018-12-01","51","383","1"
"1400100","5","5611203","2019-01-01","14","303","1"
"1400100","5","5611205","2019-01-01","14","15","1"
"1600303","5","5611205","2019-01-01","16","10","0"
"2211001","5","5611204","2019-01-01","22","318","0"
"3106200","5","5611201","2021-02-01","31","3923","1"
"5002704","5","5611204","2021-02-01","50","256","0"
"5103403","5","5611204","2021-02-01","51","314","1"
"4314902","5","5611203","2021-08-01","43","4473","0"
